subgraph,count
<http://www.wikidata.org/entity/Q55850593>,1440
<http://www.wikidata.org/entity/Q67015883>,302
<http://www.wikidata.org/entity/Q79007>,2581
<http://www.wikidata.org/entity/Q965568>,84
<http://www.wikidata.org/entity/Q294414>,684
<http://www.wikidata.org/entity/Q8054>,142075
<http://www.wikidata.org/entity/Q187971>,114
<http://www.wikidata.org/entity/Q106474968>,2
<http://www.wikidata.org/entity/Q31855>,5437
<http://www.wikidata.org/entity/Q8502>,2764
<http://www.wikidata.org/entity/Q847017>,506
<http://www.wikidata.org/entity/Q773668>,29107
<http://www.wikidata.org/entity/Q2341654>,2
<http://www.wikidata.org/entity/Q898273>,10
<http://www.wikidata.org/entity/Q235557>,83532
<http://www.wikidata.org/entity/Q7278>,17208
<http://www.wikidata.org/entity/Q44613>,1379
<http://www.wikidata.org/entity/Q35509>,128
<http://www.wikidata.org/entity/Q169930>,6139
<http://www.wikidata.org/entity/Q43460564>,40
<http://www.wikidata.org/entity/Q100532807>,1
<http://www.wikidata.org/entity/Q3305213>,16012
<http://www.wikidata.org/entity/Q105543609>,24866
<http://www.wikidata.org/entity/Q358>,112
<http://www.wikidata.org/entity/Q104093746>,20
<http://www.wikidata.org/entity/Q2467461>,171
<http://www.wikidata.org/entity/Q1520033>,146813
<http://www.wikidata.org/entity/Q634099>,187
<http://www.wikidata.org/entity/Q23397>,2639
<http://www.wikidata.org/entity/Q820477>,3377
<http://www.wikidata.org/entity/Q19855165>,68
<http://www.wikidata.org/entity/Q34763>,1604
<http://www.wikidata.org/entity/Q1134686>,414
<http://www.wikidata.org/entity/Q12280>,243
<http://www.wikidata.org/entity/Q3918>,12875
<http://www.wikidata.org/entity/Q51591359>,5
<http://www.wikidata.org/entity/Q2231510>,47
<http://www.wikidata.org/entity/Q56436498>,814
<http://www.wikidata.org/entity/Q1577547>,14
<http://www.wikidata.org/entity/Q420927>,19
<http://www.wikidata.org/entity/Q11424>,1035469
<http://www.wikidata.org/entity/Q17524420>,6101
<http://www.wikidata.org/entity/Q811979>,1834
<http://www.wikidata.org/entity/Q1497375>,676
<http://www.wikidata.org/entity/Q2065736>,1175
<http://www.wikidata.org/entity/Q473972>,700
<http://www.wikidata.org/entity/Q93184>,729
<http://www.wikidata.org/entity/Q13433827>,3899
<http://www.wikidata.org/entity/Q23413>,637
<http://www.wikidata.org/entity/Q43229>,40632
<http://www.wikidata.org/entity/Q2996394>,5290
<http://www.wikidata.org/entity/Q1505023>,6
<http://www.wikidata.org/entity/Q189004>,1403
<http://www.wikidata.org/entity/Q96739634>,7
<http://www.wikidata.org/entity/Q191067>,323
<http://www.wikidata.org/entity/Q1195098>,222
<http://www.wikidata.org/entity/Q207524>,173
<http://www.wikidata.org/entity/Q783794>,10783
<http://www.wikidata.org/entity/Q192287>,1010
<http://www.wikidata.org/entity/Q1002697>,9039
<http://www.wikidata.org/entity/Q178561>,1269
<http://www.wikidata.org/entity/Q575759>,71
<http://www.wikidata.org/entity/Q67015940>,4
<http://www.wikidata.org/entity/Q486972>,10128
