subgraph,ua_count
<http://www.wikidata.org/entity/Q18761202>,180
<http://www.wikidata.org/entity/Q14204246>,13443
<http://www.wikidata.org/entity/Q7321974>,50
<http://www.wikidata.org/entity/Q5633421>,718
<http://www.wikidata.org/entity/Q179049>,240
<http://www.wikidata.org/entity/Q2085381>,1100
<http://www.wikidata.org/entity/Q953806>,85
<http://www.wikidata.org/entity/Q928830>,337
<http://www.wikidata.org/entity/Q571>,540
<http://www.wikidata.org/entity/Q160091>,141
<http://www.wikidata.org/entity/Q27686>,500
<http://www.wikidata.org/entity/Q5783996>,81
<http://www.wikidata.org/entity/Q1115575>,498
<http://www.wikidata.org/entity/Q24046192>,47
<http://www.wikidata.org/entity/Q2151232>,191
<http://www.wikidata.org/entity/Q11879590>,448
<http://www.wikidata.org/entity/Q21014462>,234
<http://www.wikidata.org/entity/Q2593777>,48
<http://www.wikidata.org/entity/Q39614>,405
<http://www.wikidata.org/entity/Q5707594>,130
<http://www.wikidata.org/entity/Q22698>,408
<http://www.wikidata.org/entity/Q852190>,234
<http://www.wikidata.org/entity/Q12323>,225
<http://www.wikidata.org/entity/Q34770>,2259
<http://www.wikidata.org/entity/Q15243209>,337
<http://www.wikidata.org/entity/Q5>,55377
<http://www.wikidata.org/entity/Q11266439>,1657
<http://www.wikidata.org/entity/Q838948>,376
<http://www.wikidata.org/entity/Q65954115>,55
<http://www.wikidata.org/entity/Q15647814>,124
<http://www.wikidata.org/entity/Q735428>,239
<http://www.wikidata.org/entity/Q215380>,852
<http://www.wikidata.org/entity/Q149566>,82
<http://www.wikidata.org/entity/Q26703203>,66
<http://www.wikidata.org/entity/Q55659167>,130
<http://www.wikidata.org/entity/Q7777570>,751
<http://www.wikidata.org/entity/Q107102664>,24
<http://www.wikidata.org/entity/Q3508250>,24
<http://www.wikidata.org/entity/Q815382>,95
<http://www.wikidata.org/entity/Q985488>,153
<http://www.wikidata.org/entity/Q101352>,1739
<http://www.wikidata.org/entity/Q26211545>,167
<http://www.wikidata.org/entity/Q26894053>,34
<http://www.wikidata.org/entity/Q30612>,391
<http://www.wikidata.org/entity/Q35127>,874
<http://www.wikidata.org/entity/Q23925393>,42
<http://www.wikidata.org/entity/Q61278455>,23
<http://www.wikidata.org/entity/Q18593264>,152
<http://www.wikidata.org/entity/Q3464665>,241
<http://www.wikidata.org/entity/Q46831>,279
<http://www.wikidata.org/entity/Q166735>,81
<http://www.wikidata.org/entity/Q2334719>,158
<http://www.wikidata.org/entity/Q6451276>,28
<http://www.wikidata.org/entity/Q3950>,239
<http://www.wikidata.org/entity/Q54050>,369
<http://www.wikidata.org/entity/Q1580166>,76
<http://www.wikidata.org/entity/Q10429085>,19
<http://www.wikidata.org/entity/Q212198>,245
<http://www.wikidata.org/entity/Q7604686>,27
<http://www.wikidata.org/entity/Q22969563>,37
<http://www.wikidata.org/entity/Q15184295>,70
<http://www.wikidata.org/entity/Q8436>,296
<http://www.wikidata.org/entity/Q107103143>,69
<http://www.wikidata.org/entity/Q4414033>,78
<http://www.wikidata.org/entity/Q14350>,394
<http://www.wikidata.org/entity/Q102496>,121
<http://www.wikidata.org/entity/Q7604693>,13
<http://www.wikidata.org/entity/Q59541917>,133
<http://www.wikidata.org/entity/Q327333>,531
<http://www.wikidata.org/entity/Q11753321>,162
<http://www.wikidata.org/entity/Q2309609>,62
<http://www.wikidata.org/entity/Q6999>,1688
<http://www.wikidata.org/entity/Q17343829>,531
<http://www.wikidata.org/entity/Q355304>,304
<http://www.wikidata.org/entity/Q839954>,764
<http://www.wikidata.org/entity/Q18918145>,103
<http://www.wikidata.org/entity/Q2225692>,303
<http://www.wikidata.org/entity/Q1348305>,66
<http://www.wikidata.org/entity/Q131681>,202
<http://www.wikidata.org/entity/Q106006703>,11
<http://www.wikidata.org/entity/Q15303838>,373
<http://www.wikidata.org/entity/Q57733494>,45
<http://www.wikidata.org/entity/Q163740>,1028
<http://www.wikidata.org/entity/Q452237>,43
<http://www.wikidata.org/entity/Q3558970>,280
<http://www.wikidata.org/entity/Q6453643>,15
<http://www.wikidata.org/entity/Q40231>,110
<http://www.wikidata.org/entity/Q16970>,588
<http://www.wikidata.org/entity/Q17018380>,135
<http://www.wikidata.org/entity/Q16466010>,88
<http://www.wikidata.org/entity/Q46686>,81
<http://www.wikidata.org/entity/Q62447>,435
<http://www.wikidata.org/entity/Q11032>,1039
<http://www.wikidata.org/entity/Q417841>,4906
<http://www.wikidata.org/entity/Q21672098>,254
<http://www.wikidata.org/entity/Q22808320>,1343
<http://www.wikidata.org/entity/Q28564>,875
