subgraph,query_time_class,count
<http://www.wikidata.org/entity/Q179700>,2_10ms_to_100ms,28009
<http://www.wikidata.org/entity/Q842402>,5_more_10s,174
<http://www.wikidata.org/entity/Q5398426>,3_100ms_to_1s,376223
<http://www.wikidata.org/entity/Q178561>,4_1s_to_10s,3858
<http://www.wikidata.org/entity/Q2334719>,4_1s_to_10s,473
<http://www.wikidata.org/entity/Q23413>,3_100ms_to_1s,30866
<http://www.wikidata.org/entity/Q47345468>,4_1s_to_10s,444
<http://www.wikidata.org/entity/Q160091>,1_less_10ms,84
<http://www.wikidata.org/entity/Q16521>,4_1s_to_10s,50635
<http://www.wikidata.org/entity/Q86850539>,2_10ms_to_100ms,92027
<http://www.wikidata.org/entity/Q13406554>,2_10ms_to_100ms,45982
<http://www.wikidata.org/entity/Q928830>,3_100ms_to_1s,14080
<http://www.wikidata.org/entity/Q13406554>,1_less_10ms,221
<http://www.wikidata.org/entity/Q210272>,4_1s_to_10s,21974
<http://www.wikidata.org/entity/Q41176>,2_10ms_to_100ms,132542
<http://www.wikidata.org/entity/Q5783996>,4_1s_to_10s,1150
<http://www.wikidata.org/entity/Q34763>,4_1s_to_10s,3713
<http://www.wikidata.org/entity/Q46686>,3_100ms_to_1s,1087
<http://www.wikidata.org/entity/Q2225692>,3_100ms_to_1s,9225
<http://www.wikidata.org/entity/Q9842>,4_1s_to_10s,9763
<http://www.wikidata.org/entity/Q126807>,2_10ms_to_100ms,3307
<http://www.wikidata.org/entity/Q3231690>,5_more_10s,29
<http://www.wikidata.org/entity/Q27686>,1_less_10ms,552
<http://www.wikidata.org/entity/Q15221623>,3_100ms_to_1s,1403
<http://www.wikidata.org/entity/Q47461344>,1_less_10ms,2158
<http://www.wikidata.org/entity/Q1302249>,2_10ms_to_100ms,1616
<http://www.wikidata.org/entity/Q482>,4_1s_to_10s,249
<http://www.wikidata.org/entity/Q19389637>,1_less_10ms,130
<http://www.wikidata.org/entity/Q107102664>,1_less_10ms,8
<http://www.wikidata.org/entity/Q618779>,4_1s_to_10s,4711
<http://www.wikidata.org/entity/Q7604693>,3_100ms_to_1s,33
<http://www.wikidata.org/entity/Q18127>,2_10ms_to_100ms,89955
<http://www.wikidata.org/entity/Q5398426>,1_less_10ms,11221
<http://www.wikidata.org/entity/Q294414>,1_less_10ms,3272
<http://www.wikidata.org/entity/Q131681>,2_10ms_to_100ms,27593
<http://www.wikidata.org/entity/Q618779>,5_more_10s,3411
<http://www.wikidata.org/entity/Q7725634>,1_less_10ms,3483
<http://www.wikidata.org/entity/Q18593264>,5_more_10s,1632
<http://www.wikidata.org/entity/Q4504495>,2_10ms_to_100ms,32096
<http://www.wikidata.org/entity/Q121117>,5_more_10s,11
<http://www.wikidata.org/entity/Q427087>,5_more_10s,65
<http://www.wikidata.org/entity/Q634099>,4_1s_to_10s,1680
<http://www.wikidata.org/entity/Q30198>,3_100ms_to_1s,2233
<http://www.wikidata.org/entity/Q41176>,1_less_10ms,2612
<http://www.wikidata.org/entity/Q47345468>,3_100ms_to_1s,1340
<http://www.wikidata.org/entity/Q29023906>,2_10ms_to_100ms,1564
<http://www.wikidata.org/entity/Q24529780>,5_more_10s,11
<http://www.wikidata.org/entity/Q15303838>,1_less_10ms,213
<http://www.wikidata.org/entity/Q97695005>,2_10ms_to_100ms,89
<http://www.wikidata.org/entity/Q634099>,5_more_10s,10
<http://www.wikidata.org/entity/Q14659>,5_more_10s,169
<http://www.wikidata.org/entity/Q953806>,3_100ms_to_1s,3062
<http://www.wikidata.org/entity/Q1134686>,4_1s_to_10s,9306
<http://www.wikidata.org/entity/Q27671617>,3_100ms_to_1s,118
<http://www.wikidata.org/entity/Q34770>,5_more_10s,4601
<http://www.wikidata.org/entity/Q1504425>,5_more_10s,6
<http://www.wikidata.org/entity/Q179049>,3_100ms_to_1s,12981
