subgraph,count
<http://www.wikidata.org/entity/Q105543609>,199853
<http://www.wikidata.org/entity/Q358>,64051
<http://www.wikidata.org/entity/Q104093746>,51388
<http://www.wikidata.org/entity/Q2467461>,28803
<http://www.wikidata.org/entity/Q1520033>,18312
<http://www.wikidata.org/entity/Q634099>,7765
<http://www.wikidata.org/entity/Q23397>,401707
<http://www.wikidata.org/entity/Q820477>,118937
<http://www.wikidata.org/entity/Q19855165>,7678
<http://www.wikidata.org/entity/Q34763>,163931
<http://www.wikidata.org/entity/Q1134686>,26809
<http://www.wikidata.org/entity/Q12280>,123967
<http://www.wikidata.org/entity/Q3918>,50270
<http://www.wikidata.org/entity/Q51591359>,123
<http://www.wikidata.org/entity/Q2231510>,19000
<http://www.wikidata.org/entity/Q56436498>,43715
<http://www.wikidata.org/entity/Q1577547>,74812
<http://www.wikidata.org/entity/Q420927>,320
<http://www.wikidata.org/entity/Q11424>,2569121
<http://www.wikidata.org/entity/Q811979>,223189
<http://www.wikidata.org/entity/Q1497375>,28818
<http://www.wikidata.org/entity/Q17524420>,82315
<http://www.wikidata.org/entity/Q2065736>,149146
<http://www.wikidata.org/entity/Q473972>,143957
<http://www.wikidata.org/entity/Q93184>,76676
<http://www.wikidata.org/entity/Q13433827>,10899
<http://www.wikidata.org/entity/Q23413>,171083
<http://www.wikidata.org/entity/Q43229>,277807
<http://www.wikidata.org/entity/Q2996394>,20357
<http://www.wikidata.org/entity/Q1505023>,14066
<http://www.wikidata.org/entity/Q189004>,77181
<http://www.wikidata.org/entity/Q96739634>,613
<http://www.wikidata.org/entity/Q191067>,45279
<http://www.wikidata.org/entity/Q207524>,70624
<http://www.wikidata.org/entity/Q1195098>,10611
<http://www.wikidata.org/entity/Q192287>,29619
<http://www.wikidata.org/entity/Q783794>,191287
<http://www.wikidata.org/entity/Q1002697>,32795
<http://www.wikidata.org/entity/Q178561>,99252
<http://www.wikidata.org/entity/Q575759>,92988
<http://www.wikidata.org/entity/Q67015940>,19749
<http://www.wikidata.org/entity/Q486972>,450512
