subgraph,count
<http://www.wikidata.org/entity/Q3558970>,198111
<http://www.wikidata.org/entity/Q6453643>,21998
<http://www.wikidata.org/entity/Q40231>,26867
<http://www.wikidata.org/entity/Q16970>,548642
<http://www.wikidata.org/entity/Q17018380>,80224
<http://www.wikidata.org/entity/Q16466010>,5498
<http://www.wikidata.org/entity/Q46686>,21637
<http://www.wikidata.org/entity/Q62447>,109751
<http://www.wikidata.org/entity/Q11032>,322361
<http://www.wikidata.org/entity/Q21672098>,114250
<http://www.wikidata.org/entity/Q417841>,3284
<http://www.wikidata.org/entity/Q22808320>,312549
<http://www.wikidata.org/entity/Q28564>,190354
<http://www.wikidata.org/entity/Q6503489>,841
<http://www.wikidata.org/entity/Q23894233>,1752
<http://www.wikidata.org/entity/Q3257686>,210109
<http://www.wikidata.org/entity/Q34023>,119705
<http://www.wikidata.org/entity/Q310890>,21325
<http://www.wikidata.org/entity/Q26887310>,58464
<http://www.wikidata.org/entity/Q50386450>,43645
<http://www.wikidata.org/entity/Q16560>,165949
<http://www.wikidata.org/entity/Q427087>,14998
<http://www.wikidata.org/entity/Q15221623>,14472
<http://www.wikidata.org/entity/Q41298>,52324
<http://www.wikidata.org/entity/Q891723>,791422
<http://www.wikidata.org/entity/Q1081138>,88204
<http://www.wikidata.org/entity/Q27020041>,239160
<http://www.wikidata.org/entity/Q4167836>,691299
<http://www.wikidata.org/entity/Q3947>,452658
<http://www.wikidata.org/entity/Q4830453>,5622274
<http://www.wikidata.org/entity/Q39816>,146381
<http://www.wikidata.org/entity/Q489357>,114388
<http://www.wikidata.org/entity/Q585956>,133577
<http://www.wikidata.org/entity/Q13417114>,36026
<http://www.wikidata.org/entity/Q55659107>,75272
<http://www.wikidata.org/entity/Q740445>,79528
<http://www.wikidata.org/entity/Q125191>,181921
<http://www.wikidata.org/entity/Q21199>,15818
<http://www.wikidata.org/entity/Q134556>,165630
<http://www.wikidata.org/entity/Q4167410>,365211
<http://www.wikidata.org/entity/Q18127>,228708
<http://www.wikidata.org/entity/Q30198>,90387
<http://www.wikidata.org/entity/Q55850593>,28083
