subgraph,total_query_time_(ms),total_query_time_(hr),percent
<http://www.wikidata.org/entity/Q11753321>,3391443,0.942,0.006
<http://www.wikidata.org/entity/Q2309609>,39086585,10.857,0.071
<http://www.wikidata.org/entity/Q6999>,285283282,79.245,0.516
<http://www.wikidata.org/entity/Q17343829>,69930643,19.425,0.127
<http://www.wikidata.org/entity/Q355304>,96662272,26.851,0.175
<http://www.wikidata.org/entity/Q839954>,111153449,30.876,0.201
<http://www.wikidata.org/entity/Q18918145>,2059126,0.572,0.004
<http://www.wikidata.org/entity/Q2225692>,75063651,20.851,0.136
<http://www.wikidata.org/entity/Q1348305>,2312193,0.642,0.004
<http://www.wikidata.org/entity/Q131681>,61337713,17.038,0.111
<http://www.wikidata.org/entity/Q106006703>,174017,0.048,0.0
<http://www.wikidata.org/entity/Q15303838>,51056716,14.182,0.092
<http://www.wikidata.org/entity/Q57733494>,4119549,1.144,0.007
<http://www.wikidata.org/entity/Q163740>,123249425,34.236,0.223
<http://www.wikidata.org/entity/Q452237>,1566158,0.435,0.003
<http://www.wikidata.org/entity/Q3558970>,84078448,23.355,0.152
<http://www.wikidata.org/entity/Q6453643>,2177903,0.605,0.004
<http://www.wikidata.org/entity/Q40231>,6814267,1.893,0.012
<http://www.wikidata.org/entity/Q16970>,173777971,48.272,0.315
<http://www.wikidata.org/entity/Q17018380>,34244276,9.512,0.062
<http://www.wikidata.org/entity/Q16466010>,1115695,0.31,0.002
<http://www.wikidata.org/entity/Q46686>,11649139,3.236,0.021
<http://www.wikidata.org/entity/Q62447>,53180232,14.772,0.096
<http://www.wikidata.org/entity/Q11032>,99791073,27.72,0.181
<http://www.wikidata.org/entity/Q21672098>,57831585,16.064,0.105
<http://www.wikidata.org/entity/Q417841>,1783536,0.495,0.003
<http://www.wikidata.org/entity/Q22808320>,69203428,19.223,0.125
<http://www.wikidata.org/entity/Q28564>,111559796,30.989,0.202
<http://www.wikidata.org/entity/Q6503489>,633959,0.176,0.001
<http://www.wikidata.org/entity/Q23894233>,442320,0.123,0.001
<http://www.wikidata.org/entity/Q3257686>,119442268,33.178,0.216
<http://www.wikidata.org/entity/Q34023>,55826136,15.507,0.101
<http://www.wikidata.org/entity/Q310890>,3727969,1.036,0.007
<http://www.wikidata.org/entity/Q26887310>,11715913,3.254,0.021
<http://www.wikidata.org/entity/Q50386450>,12425150,3.451,0.022
<http://www.wikidata.org/entity/Q16560>,65464421,18.185,0.118
<http://www.wikidata.org/entity/Q427087>,24175833,6.716,0.044
<http://www.wikidata.org/entity/Q15221623>,1924164,0.534,0.003
<http://www.wikidata.org/entity/Q41298>,37716631,10.477,0.068
<http://www.wikidata.org/entity/Q891723>,787746006,218.818,1.426
<http://www.wikidata.org/entity/Q1081138>,41700620,11.584,0.075
<http://www.wikidata.org/entity/Q27020041>,45406999,12.613,0.082
<http://www.wikidata.org/entity/Q4167836>,267657579,74.349,0.484
<http://www.wikidata.org/entity/Q3947>,117236653,32.566,0.212
<http://www.wikidata.org/entity/Q4830453>,1992742007,553.539,3.607
<http://www.wikidata.org/entity/Q39816>,74401504,20.667,0.135
<http://www.wikidata.org/entity/Q489357>,49333997,13.704,0.089
<http://www.wikidata.org/entity/Q585956>,58036935,16.121,0.105
<http://www.wikidata.org/entity/Q13417114>,42734986,11.871,0.077
