subgraph,count
<http://www.wikidata.org/entity/Q15221623>,24293
<http://www.wikidata.org/entity/Q41298>,112349
<http://www.wikidata.org/entity/Q891723>,1175813
<http://www.wikidata.org/entity/Q1081138>,94290
<http://www.wikidata.org/entity/Q27020041>,326745
<http://www.wikidata.org/entity/Q4167836>,808536
<http://www.wikidata.org/entity/Q3947>,465249
<http://www.wikidata.org/entity/Q4830453>,9228037
<http://www.wikidata.org/entity/Q39816>,151176
<http://www.wikidata.org/entity/Q489357>,115308
<http://www.wikidata.org/entity/Q585956>,134429
<http://www.wikidata.org/entity/Q13417114>,43593
<http://www.wikidata.org/entity/Q55659107>,75420
<http://www.wikidata.org/entity/Q740445>,80070
<http://www.wikidata.org/entity/Q125191>,238054
<http://www.wikidata.org/entity/Q21199>,48488
<http://www.wikidata.org/entity/Q134556>,323560
<http://www.wikidata.org/entity/Q4167410>,3292873
<http://www.wikidata.org/entity/Q18127>,246999
<http://www.wikidata.org/entity/Q30198>,90956
<http://www.wikidata.org/entity/Q55850593>,29750
<http://www.wikidata.org/entity/Q67015883>,12010
<http://www.wikidata.org/entity/Q79007>,535623
<http://www.wikidata.org/entity/Q965568>,52873
<http://www.wikidata.org/entity/Q294414>,186481
<http://www.wikidata.org/entity/Q8054>,370047
<http://www.wikidata.org/entity/Q187971>,132814
<http://www.wikidata.org/entity/Q106474968>,90
<http://www.wikidata.org/entity/Q31855>,154706
<http://www.wikidata.org/entity/Q8502>,749283
<http://www.wikidata.org/entity/Q847017>,81486
<http://www.wikidata.org/entity/Q773668>,67668
<http://www.wikidata.org/entity/Q2341654>,113017
<http://www.wikidata.org/entity/Q898273>,1495
<http://www.wikidata.org/entity/Q7278>,235293
<http://www.wikidata.org/entity/Q235557>,100256
<http://www.wikidata.org/entity/Q44613>,128819
<http://www.wikidata.org/entity/Q35509>,180050
<http://www.wikidata.org/entity/Q169930>,28749
<http://www.wikidata.org/entity/Q43460564>,7348
<http://www.wikidata.org/entity/Q100532807>,1364
<http://www.wikidata.org/entity/Q3305213>,926701
<http://www.wikidata.org/entity/Q105543609>,348636
<http://www.wikidata.org/entity/Q358>,85389
<http://www.wikidata.org/entity/Q104093746>,58583
<http://www.wikidata.org/entity/Q2467461>,42926
<http://www.wikidata.org/entity/Q1520033>,165136
<http://www.wikidata.org/entity/Q634099>,177826
<http://www.wikidata.org/entity/Q23397>,456054
<http://www.wikidata.org/entity/Q820477>,129865
<http://www.wikidata.org/entity/Q19855165>,7835
<http://www.wikidata.org/entity/Q34763>,202895
<http://www.wikidata.org/entity/Q12280>,145330
<http://www.wikidata.org/entity/Q1134686>,92363
<http://www.wikidata.org/entity/Q3918>,290947
<http://www.wikidata.org/entity/Q51591359>,161
<http://www.wikidata.org/entity/Q2231510>,19494
<http://www.wikidata.org/entity/Q56436498>,70450
<http://www.wikidata.org/entity/Q1577547>,77807
<http://www.wikidata.org/entity/Q420927>,924
<http://www.wikidata.org/entity/Q11424>,5067305
<http://www.wikidata.org/entity/Q811979>,445779
<http://www.wikidata.org/entity/Q1497375>,90367
<http://www.wikidata.org/entity/Q17524420>,126728
<http://www.wikidata.org/entity/Q2065736>,179693
<http://www.wikidata.org/entity/Q473972>,331819
<http://www.wikidata.org/entity/Q93184>,81110
<http://www.wikidata.org/entity/Q13433827>,28063
<http://www.wikidata.org/entity/Q23413>,245669
<http://www.wikidata.org/entity/Q43229>,1067340
<http://www.wikidata.org/entity/Q2996394>,87644
<http://www.wikidata.org/entity/Q1505023>,14119
<http://www.wikidata.org/entity/Q189004>,110813
<http://www.wikidata.org/entity/Q96739634>,2262
<http://www.wikidata.org/entity/Q191067>,53764
<http://www.wikidata.org/entity/Q207524>,75665
<http://www.wikidata.org/entity/Q1195098>,28803
<http://www.wikidata.org/entity/Q192287>,192653
<http://www.wikidata.org/entity/Q783794>,459638
<http://www.wikidata.org/entity/Q1002697>,71882
<http://www.wikidata.org/entity/Q178561>,141366
<http://www.wikidata.org/entity/Q575759>,108411
<http://www.wikidata.org/entity/Q67015940>,19766
<http://www.wikidata.org/entity/Q486972>,1328064
