subject_subgraph,object_subgraph,count,subject_subgraph_label,object_subgraph_label
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q11060274>,5,Wikimedia disambiguation page,print
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q7725634>,4,item of collection or exhibition,literary work
<http://www.wikidata.org/entity/Q41176>,<http://www.wikidata.org/entity/Q47521>,4,building,stream
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q2668072>,4,human settlement,collection
<http://www.wikidata.org/entity/Q3947>,<http://www.wikidata.org/entity/Q2668072>,4,house,collection
<http://www.wikidata.org/entity/Q17633526>,<http://www.wikidata.org/entity/Q4167410>,4,Wikinews article,Wikimedia disambiguation page
<http://www.wikidata.org/entity/Q56436498>,<http://www.wikidata.org/entity/Q23442>,4,village in India,island
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q5084>,4,stream,hamlet
<http://www.wikidata.org/entity/Q41176>,<http://www.wikidata.org/entity/Q355304>,4,building,watercourse
<http://www.wikidata.org/entity/Q811979>,<http://www.wikidata.org/entity/Q23397>,4,architectural structure,lake
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q101352>,4,hamlet,family name
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q23442>,4,item of collection or exhibition,island
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q41176>,4,hill,building
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q101352>,4,stream,family name
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q7725634>,4,hamlet,literary work
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q49008>,4,taxon,prime number
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q13433827>,4,family name,encyclopedia article
<http://www.wikidata.org/entity/Q13406463>,<http://www.wikidata.org/entity/Q5084>,4,Wikimedia list article,hamlet
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q7725634>,4,hill,literary work
<http://www.wikidata.org/entity/Q11060274>,<http://www.wikidata.org/entity/Q13442814>,4,print,scholarly article
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q5084>,4,astronomical object,hamlet
<http://www.wikidata.org/entity/Q811979>,<http://www.wikidata.org/entity/Q3331189>,4,architectural structure,"version, edition, or translation"
<http://www.wikidata.org/entity/Q2668072>,<http://www.wikidata.org/entity/Q23442>,4,collection,island
<http://www.wikidata.org/entity/Q17633526>,<http://www.wikidata.org/entity/Q486972>,4,Wikinews article,human settlement
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q47521>,4,taxon,stream
