subject_subgraph,object_subgraph,count,subject_subgraph_label,object_subgraph_label
<http://www.wikidata.org/entity/Q11060274>,<http://www.wikidata.org/entity/Q13433827>,1,print,encyclopedia article
<http://www.wikidata.org/entity/Q21014462>,<http://www.wikidata.org/entity/Q41176>,1,cell line,building
<http://www.wikidata.org/entity/Q13406463>,<http://www.wikidata.org/entity/Q355304>,1,Wikimedia list article,watercourse
<http://www.wikidata.org/entity/Q27020041>,<http://www.wikidata.org/entity/Q3305213>,1,sports season,painting
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q18593264>,1,astronomical object,item of collection or exhibition
<http://www.wikidata.org/entity/Q4022>,<http://www.wikidata.org/entity/Q6999>,1,river,astronomical object
<http://www.wikidata.org/entity/Q355304>,<http://www.wikidata.org/entity/Q56436498>,1,watercourse,village in India
<http://www.wikidata.org/entity/Q5084>,<http://www.wikidata.org/entity/Q56436498>,1,hamlet,village in India
<http://www.wikidata.org/entity/Q21014462>,<http://www.wikidata.org/entity/Q59199015>,1,cell line,group of stereoisomers
<http://www.wikidata.org/entity/Q4830453>,<http://www.wikidata.org/entity/Q19389637>,1,business,biographical article
<http://www.wikidata.org/entity/Q11060274>,<http://www.wikidata.org/entity/Q19389637>,1,print,biographical article
<http://www.wikidata.org/entity/Q4164871>,<http://www.wikidata.org/entity/Q4022>,1,position,river
<http://www.wikidata.org/entity/Q4167836>,<http://www.wikidata.org/entity/Q11060274>,1,Wikimedia category,print
<http://www.wikidata.org/entity/Q11060274>,<http://www.wikidata.org/entity/Q6999>,1,print,astronomical object
<http://www.wikidata.org/entity/Q3947>,<http://www.wikidata.org/entity/Q6999>,1,house,astronomical object
<http://www.wikidata.org/entity/Q4022>,<http://www.wikidata.org/entity/Q11060274>,1,river,print
<http://www.wikidata.org/entity/Q23397>,<http://www.wikidata.org/entity/Q6999>,1,lake,astronomical object
<http://www.wikidata.org/entity/Q532>,<http://www.wikidata.org/entity/Q6999>,1,village,astronomical object
<http://www.wikidata.org/entity/Q4830453>,<http://www.wikidata.org/entity/Q11060274>,1,business,print
<http://www.wikidata.org/entity/Q13406463>,<http://www.wikidata.org/entity/Q54050>,1,Wikimedia list article,hill
<http://www.wikidata.org/entity/Q30612>,<http://www.wikidata.org/entity/Q4167836>,1,clinical trial,Wikimedia category
<http://www.wikidata.org/entity/Q41176>,<http://www.wikidata.org/entity/Q11060274>,1,building,print
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q8054>,1,Wikimedia disambiguation page,protein
<http://www.wikidata.org/entity/Q3305213>,<http://www.wikidata.org/entity/Q8054>,1,painting,protein
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q11060274>,1,island,print
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q49008>,1,human settlement,prime number
<http://www.wikidata.org/entity/Q13433827>,<http://www.wikidata.org/entity/Q8054>,1,encyclopedia article,protein
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q16970>,1,hill,church building
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q18593264>,1,taxon,item of collection or exhibition
<http://www.wikidata.org/entity/Q3331189>,<http://www.wikidata.org/entity/Q59199015>,1,"version, edition, or translation",group of stereoisomers
<http://www.wikidata.org/entity/Q17633526>,<http://www.wikidata.org/entity/Q4022>,1,Wikinews article,river
<http://www.wikidata.org/entity/Q23442>,<http://www.wikidata.org/entity/Q11173>,1,island,chemical compound
<http://www.wikidata.org/entity/Q811979>,<http://www.wikidata.org/entity/Q56436498>,1,architectural structure,village in India
<http://www.wikidata.org/entity/Q54050>,<http://www.wikidata.org/entity/Q13433827>,1,hill,encyclopedia article
<http://www.wikidata.org/entity/Q532>,<http://www.wikidata.org/entity/Q11266439>,1,village,Wikimedia template
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q11266439>,1,stream,Wikimedia template
<http://www.wikidata.org/entity/Q47521>,<http://www.wikidata.org/entity/Q7725634>,1,stream,literary work
<http://www.wikidata.org/entity/Q9842>,<http://www.wikidata.org/entity/Q7725634>,1,primary school,literary work
<http://www.wikidata.org/entity/Q7187>,<http://www.wikidata.org/entity/Q3305213>,1,gene,painting
<http://www.wikidata.org/entity/Q8054>,<http://www.wikidata.org/entity/Q3305213>,1,protein,painting
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q11173>,1,item of collection or exhibition,chemical compound
<http://www.wikidata.org/entity/Q11060274>,<http://www.wikidata.org/entity/Q13406463>,1,print,Wikimedia list article
<http://www.wikidata.org/entity/Q6999>,<http://www.wikidata.org/entity/Q355304>,1,astronomical object,watercourse
<http://www.wikidata.org/entity/Q56436498>,<http://www.wikidata.org/entity/Q13406463>,1,village in India,Wikimedia list article
<http://www.wikidata.org/entity/Q101352>,<http://www.wikidata.org/entity/Q56436498>,1,family name,village in India
<http://www.wikidata.org/entity/Q9842>,<http://www.wikidata.org/entity/Q8502>,1,primary school,mountain
<http://www.wikidata.org/entity/Q5>,<http://www.wikidata.org/entity/Q59199015>,1,human,group of stereoisomers
<http://www.wikidata.org/entity/Q4167410>,<http://www.wikidata.org/entity/Q19389637>,1,Wikimedia disambiguation page,biographical article
<http://www.wikidata.org/entity/Q59199015>,<http://www.wikidata.org/entity/Q7725634>,1,group of stereoisomers,literary work
<http://www.wikidata.org/entity/Q18593264>,<http://www.wikidata.org/entity/Q4167836>,1,item of collection or exhibition,Wikimedia category
<http://www.wikidata.org/entity/Q79007>,<http://www.wikidata.org/entity/Q56436498>,1,street,village in India
<http://www.wikidata.org/entity/Q4830453>,<http://www.wikidata.org/entity/Q7187>,1,business,gene
<http://www.wikidata.org/entity/Q11060274>,<http://www.wikidata.org/entity/Q7187>,1,print,gene
<http://www.wikidata.org/entity/Q486972>,<http://www.wikidata.org/entity/Q7187>,1,human settlement,gene
<http://www.wikidata.org/entity/Q13100073>,<http://www.wikidata.org/entity/Q4022>,1,village-level division in China,river
<http://www.wikidata.org/entity/Q16521>,<http://www.wikidata.org/entity/Q59199015>,1,taxon,group of stereoisomers
<http://www.wikidata.org/entity/Q9842>,<http://www.wikidata.org/entity/Q3947>,1,primary school,house
